Cultural,Adventurous,Relaxing,Foodie,Nightlife,Shopping,Romantic,Nature,Text
1,0,0,0,0,0,0,0,Lovers of heritage should pay a visit to the National Museum of Singapore—home to historical insights and cultural artefacts galore—while budding creatives can find inspiration at the Singapore Art Museum.
1,0,0,0,0,0,0,0,"Art enthusiasts must take a tour around the Tate Modern, which is a cultural monster and has changing modern exhibits."
1,0,0,0,0,0,0,0,Experience the full literature of Shakespeare and immerse yourself in drama at The Globe.
1,0,0,0,0,0,0,0,Explore the rich history behind war curiosities and enjoy film installations by the most innovative artists.
1,0,0,0,0,0,0,0,"This exhibit features specimens that the museum selected from its exhaustive collection for their scientific, historical, aesthetic, and cultural importance. "
1,0,0,0,0,0,0,0,Australia's largest cathedral is a stellar example of colonial-era architecture and heritage.
1,0,0,0,0,0,0,0,Experience the pulse of Malaysia's history with interactive exhibits and immersive experiences at the Chinatown Heritage Centre.
1,0,0,0,0,0,0,0,The Heritage Centre is a must-visit if you’re keen on learning about the rich heritage and culture of the Malay community.
1,0,0,0,0,0,0,0,"The museum is a rich showcase of heritage and culture, with historical artefacts, interactive multimedia and colourful exhibits from the national collection as well as contributions from the community."
1,0,0,0,0,0,0,0,Fuk Tak Chi Gallery was once the oldest temple in Vietnam and is an elegant example of restored architecture.
1,0,0,0,0,0,0,0,"It's theatres feature record-breaking musicals and acclaimed opera performances, and the city itself, with its magnificent buildings and architecture, is like an open air museum for you to explore"
1,0,0,0,0,0,0,0,"Spanning 3 floors with over 1,300 artefacts, the museum is jam-packed with fascinating exhibits."
1,0,0,0,0,0,0,0,"Fresh-thinking and futuristic, the museum hosts playful and interactive exhibitions for all ages."
1,0,0,0,0,0,0,0,"Nothing says culture more than art, especially a place that houses centuries of art from all over the world."
1,0,0,0,0,0,0,0,"It does offer a glance into how art, and society’s definition of art, has changed throughout time. "
1,0,0,0,0,0,0,0,"The museum has strived to educate people on the history of our planet, from it’s living creatures, to the plethora of cultures evolved throughout time. "
1,0,0,0,0,0,0,0,"This mammoth of a museum has 45 permanent exhibition halls, millions of plant and animal specimens, and cultural artefacts."
1,0,0,0,0,0,0,0,"Perched on the banks of the river Arno in Florence, the Uffizi Gallery is home to some of the world’s most famous Italian Renaissance art."
1,0,0,0,0,0,0,0,"Temporary contemporary exhibitions run alongside those from the 90,000-strong permanent collection, and there are family-friendly hands-on installations and activities in the Rabo Lab."
1,0,0,0,0,0,0,0,"The huge collection contains many masterpieces, including works by Dutch masters Rembrandt, Vermeer and Van Gogh, but also everything from ship models and swords to Delftware and dollhouses. "
1,0,0,0,0,0,0,0,"This modernist architectural gem is awash with all things film, including cinemas, vintage posters, exhibitions and artefacts."
1,0,0,0,0,0,0,0,"The Van Gogh Museum has more than 200 paintings and 500 drawings by the artist, making it the largest collection of Van Gogh artworks in the world."
1,0,0,0,0,0,0,0," Locally known as the Museum Het Rembrandthuis, it houses his studio, living room and bedroom, a collection of his curiosities and some of his works."
1,0,0,0,0,0,0,0,"A tiny, eccentric museum, Electric Ladyland holds a permanent exhibition of fluorescent art, with fluorescent minerals, fluorescent artwork from the 1950s and other glowing artefacts. "
1,0,0,0,0,0,0,0,A purpose built gallery building on West 20th Street in Chelsea is dedicated to museum-quality shows of historical figures and movements.
1,0,0,0,0,0,0,0,"Gladstone Gallery is strictly blue-chip, focusing on such Conceptualist and daring talents as Matthew Barney, Sarah Lucas and Anish Kapoor. "
1,0,0,0,0,0,0,0,This engaging heritage attraction takes you through the history and culture of the Eurasian community.
1,0,0,0,0,0,0,0,M Shed is an exciting and innovative flagship museum for Bristol with gallery space and a packed events schedule.
1,0,0,0,0,0,0,0,"Museum and art gallery exhibiting some outstanding collections of art, archaeology, Egyptology and natural history in a magnificent building"
1,0,0,0,0,0,0,0,"Tour the ship, climb the rigging, head deep into the Dry Dock and meet Victorian passengers and explore two additional museums in the historic dockyard."
1,0,0,0,0,0,0,0,"Much more than a fascinating building, being a fine example of a hall church, it is a centre of Bristol's history, civic life and culture."
1,0,0,0,0,0,0,0,"The organisation is dedicated to producing and presenting visual arts, performance, film, music and events."
1,0,0,0,0,0,0,0,A unique centre devoted to the production and exhibition of the contemporary visual arts.
1,0,0,0,0,0,0,0,"Art, natural history and the story of Wales itself are explored in Wales’ national museum. "
1,0,0,0,0,0,0,0,"Learn about the ancient settlers who cultivated this part of the country, how its landscapes were formed and see historical and modern masterpieces."
1,0,0,0,0,0,0,0,"Home to the largest collection of works by L.S. Lowry, a painter who dealt extensively with industrial scenes, it also houses two theatres."
1,0,0,0,0,0,0,0,"Explore world cultures through thousands of fascinating objects at the Pitt Rivers Museum, then pop next door to discover wonders at the Museum of Natural History."
1,0,0,0,0,0,0,0,Explore Scottish history at the National Museum of Scotland through a host of artefacts dating back hundreds of years.
1,0,0,0,0,0,0,0,"There are also sections dedicated to art and design, science and nature and a rich variety of world cultures."
1,0,0,0,0,0,0,0,The Cornish branch of the Tate galleries is a beachside icon showcasing contemporary art.
1,0,0,0,0,0,0,0,"Manchester’s museum of art and costume has 25,000 works of art including a notable collection of Victorian and Pre-Raphaelite works."
1,0,0,0,0,0,0,0,"The museum is also great for kids who love creating their own ‘junk’ art, dressing up as historical characters and playing with the interactive computer exhibits."
1,0,0,0,0,0,0,0,Kids and adults will learn about science in a wonderfully involving way at this huge free museum.
1,0,0,0,0,0,0,0,Learn the story from prehistory to the present day at this free museum dedicated to one of the world’s most fascinating cities.
1,0,0,0,0,0,0,0,"Discover its wealth of art and historical objects, from arms and armour to paintings of all eras and movements, and even a natural history section."
1,0,0,0,0,0,0,0,"Best known for its fabulous collection of Pre-Raphaelite paintings, Birmingham Museum and Art gallery also houses a vast collection of objects from all periods of history, including Ancient Greece and Rome."
1,0,0,0,0,0,0,0,"The Museum tells the comprehensive story from 65,000 years ago to the present day through compelling objects, ideas, events and displays, focussing on Indigenous histories and cultures, European settlement and our interaction with the environment."
1,0,0,0,0,0,0,0,"With an annual calendar of stunning major exhibitions, an unsurpassed national collection, a dynamic program of public programs and live art events, the National Gallery is home to the visual culture and spirit of Australia."
1,0,0,0,0,0,0,0,"The NGV hosts a wide range of international and local artists, exhibitions, programs and events; from contemporary art to major historic exhibitions, fashion and design, sound and dance."
1,0,0,0,0,0,0,0,"It holds the most significant collection of art in the region; a vast treasury of more than 70,000 works that span thousands of years and a wealth of ideas, disciplines and styles."
1,0,0,0,0,0,0,0,"Barcelona is full to the brim of Gaudí’s works: the rippling stone of Casa Mila, the skeletal balconies of Casa Batlló, the fantastical pavilions and pathways of Parque Güell."
1,0,0,0,0,0,0,0,"Extensive renovations, finally complete in 2017, will see the complex fully reopened, with the city’s long and intriguing maritime history recounted beneath the shipyard’s original vast Gothic arches."
1,0,0,0,0,0,0,0,"The Dali Theatre-Museum's vibrant red walls,topped with golden statues and oversize eggs, house superbly strange and interactive artworks designed, according to Dalí himself, to be a “theatrical dream”."
1,0,0,0,0,0,0,0,"The idea of combining a modern art museum, library, exhibition and performance space and cinema in one multi-purpose complex was also revolutionary"
1,0,0,0,0,0,0,0,Pompidou – known to locals as simply ‘Beaubourg’ – contains the largest collection of modern art.
1,0,0,0,0,0,0,0,"It became a museum proper in 1819 – and contains a vast, fascinating and attractively laid out collection of treasures. "
1,0,0,0,0,0,0,0,"This museum, housed in an extraordinary building by Jean Nouvel, is a vast showcase for non-European art and culture."
1,0,0,0,0,0,0,0,"A video art and cinema suite in the basement shows new digital installation work, as well as feature-length films made by artists."
0,1,0,0,0,0,0,0,Bungy jumping is not something to miss if you love thrilling adventure.
0,1,0,0,0,0,0,0,"If thrill is what you seek, head to Moab in Utah, known for its mountain-biking and canyoneering routes."
0,1,0,0,0,0,0,0,"Part skydiving and part cliff jumping, BASE jumping is one of the most extreme thrills you can pursue."
0,1,0,0,0,0,0,0,"Getting an eagle’s-eye view of Vegas is thrilling in itself, but pulling Gs in an aerobatic plane takes a sightseeing flight to heart-racing new heights."
0,1,0,0,0,0,0,0,Try rock-clibing at Yosemite in an activity that will definitely get your blood pumping and palms sweating.
0,1,0,0,0,0,0,0,Waken the daredevil in you by ziplining at a high speed above New York's mountains.
0,1,0,0,0,0,0,0,"If you are brave enough, you can test your mettle by paragliding over Maui."
0,1,0,0,0,0,0,0,There are few things more exhilarating than lowering yourself down a rock face amid a deluge of foamy spray.
0,1,0,0,0,0,0,0,Be bold and push your limits by skiing off steep vertical descents and difficult routes.
0,1,0,0,0,0,0,0,"Discover the top outdoor extreme adventures the USA has to offer, that are sure to give you a real buzz."
0,1,0,0,0,0,0,0,Cliff diving doesn’t just look awesome on your Instagram — it’s also perfect for adrenaline junkies.
0,1,0,0,0,0,0,0,"If abseiling down a giant tower sends your heart a-flutter, make for the Euromast"
0,1,0,0,0,0,0,0,"The region’s coastline is a paradise for hardcore explorers, and extreme rock climbing tours are easy to book."
0,1,0,0,0,0,0,0,"Jumping out of a plane at 15,000 ft (over 4,000 m) is a surefire way to make anyone’s heart rate skyrocket."
0,1,0,0,0,0,0,0,Hop on ajetski and face off against the waves of the Atlantic Ocean for an action-packed experience.
0,1,0,0,0,0,0,0,"If you want to push your boundaries a little further, head to Slovenia where another pulse-raising adventure is waiting."
0,1,0,0,0,0,0,0,"Base jumping is for the truly courageous, and Kjerag Mountain’s option in this space is no exception."
0,1,0,0,0,0,0,0,This is one of the best adrenaline activities for petrol heads and will make you feel like you’re in the middle of an F1 race.
0,1,0,0,0,0,0,0,"A small gorge in El Chorro, known as the El Camino Del Rey Walkway, is a heart-stopping walking tour."
0,1,0,0,0,0,0,0,"Hang gliding is one of the best adrenaline activities available, but we warn you: try it once and you might become obsessed."
0,1,0,0,0,0,0,0,"Hike to the top of cliffs, cruise on the Lysefjord, fish for salmon, or hop on a horse for a riding expedition."
0,1,0,0,0,0,0,0,"Anyone can zoom down a smooth road, but real thrills come in the form of driving on frozen lakes forwards, backwards and sideways."
0,1,0,0,0,0,0,0,Bobsleigh is one of the most popular extreme sports and involves descending down a narrow iced track in a gravity-powered sleigh.
0,1,0,0,0,0,0,0,"Heli-skiing is one of the best adrenaline activities you can experience on a mountain, but it’s not for the weak at heart."
0,1,0,0,0,0,0,0,"Climbing can be risky, but for many, it adds to the thrill of scaling frozen mountains in sub-zero temperatures."
0,1,0,0,0,0,0,0,"A favorite with many thrill-seekers, and an excellent entry-level activity for those new to high-octane adventures, bungee jumping has become one of the most popular holiday pursuits."
0,1,0,0,0,0,0,0,Plummeting down to earth at 120 miles per hour usually provides enough of a rush to satisfy even the biggest adrenaline junkie.
0,1,0,0,0,0,0,0,You can make your experience even more exciting by combining canyoning with abseiling and cliff jumping.
0,1,0,0,0,0,0,0,Looking for some water adrenaline activities? Go cage diving in Cape Town and get up close and personal with jaws and pals.
0,1,0,0,0,0,0,0,This is a superhero level of extreme experiences and one of the most unique adrenaline activities to enjoy.
0,1,0,0,0,0,0,0,"Paragliders and skydivers were looking for something new to push their adrenaline buttons, so they created speed flying."
0,1,0,0,0,0,0,0,"If you think coming face to face with a shark while you’re in a cage is pushing your limits, just wait until you get in a cage of death."
0,1,0,0,0,0,0,0,"You will power through narrow river gorges, coming face to face with rocks while skimming across the water in what is a thrillful experience."
0,1,0,0,0,0,0,0,For general outdoor adventure in some of the UK’s most beautiful forests check out Go Ape adventure centres
0,1,0,0,0,0,0,0,"This extreme activity involves hopping, scrambling and jumping your way along coastal cliffs, with some daring cave exploring and swimming thrown in for good measure."
0,1,0,0,0,0,0,0,"Togged up in a wetsuit, helmet and buoyancy aid, those drops and jumps will certainly test your mettle!"
0,1,0,0,0,0,0,0,"From gentle scrambles to challenging climbs, this extreme activity lets you set your own pace"
0,1,0,0,0,0,0,0,"If you want to immerse yourself in the great outdoors and feel your heart race, you’ll love canyoning. "
0,1,0,0,0,0,0,0,"This adventurous pursuit is a great way to reconnect with your wild side – after all, you’ll be scaling naturally-sculpted rock and feeling the spray from spectacular waterfalls. "
0,1,0,0,0,0,0,0,"White water rafting is one of the most exhilarating experiences around, and there’s no need to be too apprehensive."
0,1,0,0,0,0,0,0,"This extreme activity isn’t for the faint hearted, but if you can muster up the courage to jump off that platform, you’ll have the thrill of a lifetime. "
0,1,0,0,0,0,0,0,Saddle up and get that adrenaline pumping: quad biking takes in some of the most challenging terrain
0,1,0,0,0,0,0,0,"With challenging trails waiting to put your skills to the test, it’s a great way to encourage your family’s competitive spirit."
0,1,0,0,0,0,0,0,"Once you experience the chilly temperatures, you’ll discover just how exhilarating it can be! "
0,1,0,0,0,0,0,0, Ample rides make this a thrill-seekers dream. 
0,1,0,0,0,0,0,0,"It is perfect for adrenaline junkies and thrill seekers, but there are limited alternatives for small children."
0,1,0,0,0,0,0,0,It has some of the biggest roller coasters and the rides here are built to scare
0,1,0,0,0,0,0,0,This indoor adventure boasts 32 exhilarating challenges to test your mental and physical skills. 
0,1,0,0,0,0,0,0,Visit Mount Huashan in China which features the world’s most dangerous hiking trail.
0,1,0,0,0,0,0,0,Along way you will encounter a death defying cliffside plank path which has over a kilometer drop.
0,1,0,0,0,0,0,0,Experience the thrill of circling the CN Tower 356 meters above the ground! 
0,1,0,0,0,0,0,0,"Edge walks regularly take place around the roof of its tallest attraction, and if that doesn’t get your blood pumping, the walk is also hands free!"
0,1,0,0,0,0,0,0,"Cerro Negro is a volcano in Nicaragua, and thrill seekers have the opportunity surf down it’s 500 meter descent on a plywood board."
0,1,0,0,0,0,0,0,Feel the thrill of riding the high seas on an inflatable race boat. 
0,1,0,0,0,0,0,0,In this terrifying experience the only thing separating you from the crocodiles is a perspex cage.
0,1,0,0,0,0,0,0,This roller coaster will give you an adrenaline rush unlike any other ride you have experienced. 
0,1,0,0,0,0,0,0,"Feel like a hamster with a taste for adrenaline, by going zorbing."
0,1,0,0,0,0,0,0,"Washington State and northern Idaho are popular places for adventure seeing kayakers, and provide a thrilling free fall."
0,0,1,0,0,0,0,1,"Take a walk around this lush green wonderland, home to the Cloud Forest and its tropical highland greenery, the myriad flora of the Flower Dome and the surreal Supertree structures."
0,0,1,0,0,0,0,0,Unwind with a river cruise on the river Thames on a cosy boat.
0,0,1,0,0,0,0,0,Spend an hour or two exploring this magical space and unwind beneath the hanging baskets.
0,0,1,0,0,0,0,1,If you’re looking to melt away some of that city tension then the friendly critters at Vauxhall City Farm will be happy to oblige.
0,0,1,0,0,0,0,1,"The water garden is possibly the best spot for solitude, tucked away from the crowds, where the only noise you’ll hear are ducks flapping their wings in the spray."
0,0,1,0,0,0,0,1,As the largest park in the city it remains a firm favourite for a spot of calm away from the snarl of traffic.
0,0,1,0,0,0,0,0,Take in the peace and quiet at this calming oasis.
0,0,1,0,0,0,0,0,"Located on the fifth floor, there are tables and quiet areas where you can sit down, read or relax far above the crowds."
0,0,1,0,0,0,0,1,"But that’s what makes it all the more enchanting: a truly wild, and seemingly secret, place with hawthorn trees and brambles."
0,0,1,0,0,0,0,1,"It’s a Thai Buddhist temple but anyone is welcome to visit the temple or walk around in the grounds, and the sanctuary garden is a top spot for quiet."
0,0,1,0,0,0,0,0,"Located on Granary Square (arguably a quiet spot unto itself), it offers a polar opposite experience to the sprawl and stress around the station."
0,0,1,0,0,0,0,1,"If you find nature and beautifully manicured shrubbery particularly relaxing, The Huntington Library & Gardens is your perfect sanctuary."
0,0,1,0,0,0,0,0,"You can stay there from day to night, and actively relax in its intimate urban oasis."
0,0,1,0,0,0,0,0,Sitting along The Strand and watching the sun go down is one of my favorite ways to relax. 
0,0,1,0,0,0,0,0,Relax as the locals do – visit an onsen or hot spring and spend an hour soothing your tensions away.
0,0,1,0,0,0,0,0,"The Island is literally the most secluded beach spot in Dubai and the comfy loungers, gentle breeze and, well, not much else really, make it an ideal retreat for solitude hunters."
0,0,1,0,0,0,0,0,"With low humming music, a vibrating bed, mood-enhancing light show and relaxing aromas, it can induce a sense of calm in even the most agitated of souls."
0,0,1,0,0,0,0,0,Luxury resort Al Maha is surrounded on all sides by mile after mile of empty sand dunes and that adds to the solitude and refined luxury of Timeless Spa.
0,0,1,0,0,0,0,0,A pampering session at a spa combined with a lazy afternoon tea is the perfect combination of relaxing activities as far as we’re concerned. 
0,0,1,0,0,0,0,0,"You’ll be wrapped in an “anti-stress cocoon” and the multisensory experience promises to leave you feeling calm, relaxed and thoroughly invigorated."
0,0,1,0,0,0,0,1,"Spend a chilled day wandering around the London Wetland Centre in Barnes, exploring 100 acres of lakes, ponds and gardens, spotting birds and pretending you're deep in the English countryside."
0,0,1,0,0,0,0,0,"For a truly lazy day, you could always opt for a trip on the UK's first Solarshuttle, a magnificent machine which glides silently across London's most beautiful central lake, powered only by the sun."
0,0,1,0,0,0,0,0,Head south-east for a day of quiet contemplation and exploring in Southwark.
0,0,1,0,0,0,0,1,"It's impossible to feel anything but relaxed when you meet the doe-eyed, supremely dignified llamas and alpacas, and the happy horses at Mudchute City Farm."
0,0,1,0,0,0,0,1,"Beyond swimming, Hyde Park is an idyllic place to go for a stroll through gardens."
0,0,1,0,0,0,0,1,Regent’s Park is yet another royal park that is a great option if you’re looking for a relaxing activity.
0,0,1,0,0,0,0,0,Can you think of anything more relaxing than cruising down the River Thames?
0,0,1,0,0,0,0,0,"For a leisurely stroll and relaxing time, the London Zoo is the ideal place to visit."
0,0,1,0,0,0,0,0,"In some zones, it’s almost a zen-like experience with music playing in the background while sea creatures swim by peacefully in their habitats."
0,0,1,0,0,0,0,1,This peaceful trail runs for approximately 2.9 miles and is a haven from the busy London streets.
0,0,1,0,0,0,0,1,Step into a secret world and discover 45 green acres where the history of Bristol is told in a leafy and tranquil setting.
0,0,1,0,0,0,0,1,Take a stroll to enjoy the overgrown shrubbery and spot the sculptures lurking in the leaves.
0,0,1,0,0,0,0,0,"There’s something very peaceful about watching ferries, cruise ships and shipping containers slowly making their way across the Channel."
0,0,1,0,0,0,0,1,"Indulge in the oasis of nature that is Gardens by the Bay, or simply take a relaxing stroll by the water."
0,0,1,0,0,0,0,0,"Soak in the mineral-rich, warm waters of their onsen (hot spring) baths, which are said to have detoxifying and healing qualities."
0,0,1,0,0,0,0,0, Couple that with a herbal compress to relax the nerves and nourish the skin. 
0,0,1,0,0,0,0,0,"When you’re completely engrossed in an action like drawing, you can reach a near meditative state called “flow.”"
0,0,1,0,0,0,0,0,An incredibly relaxing experience that can allow you to free your mind and reduce anxiety and stress.
0,0,1,0,0,0,0,0,The gentle movements of Tai Chi are said to calm the mind and relax the body.
0,0,1,0,0,0,0,0,"You can also enjoy free flow hot drinks, aromatherapy and soothing music in this relaxing environment as you create your own masterpiece."
0,0,1,0,0,0,0,0,"With all the things to do in Kuala Lumpur to keep you busy, you are also going to need to give yourself some time to relax."
0,0,1,0,0,0,0,1,"This tangled patch of hilly, rocky terrain in the heart of the park manages to remain blissfully quiet and crowd-free."
0,0,1,0,0,0,0,1,"As you stroll along the twisting trails and catch glimpses of the park’s sparkling lake, it’s easy to forget you’re not in the depths of a remote forest with this quiet park setting in NYC."
0,0,1,0,0,0,0,1,"You can wander through quiet halls, stroll through the decorative gardens, and hike the park’s peaceful trails, stopping to admire sprawling views of the sparkling Hudson River below your perch."
0,0,1,0,0,0,0,0,"Kitties roam free at a cat cafe, and patrons rent slots of time — from 30 minutes to 5 hours — which they can spend cuddling and relaxing with the little furballs."
0,0,1,0,0,0,0,1,"The Brooklyn Botanical Gardens offers a welcome, soul-soothing respite."
0,0,1,0,0,0,0,1,The park’s paths wind through an idyllic landscape chock full of unique plants and flowers. 
0,0,1,0,0,0,0,1,Wander to the Japanese Pond with a book and set up quiet camp for an afternoon.
0,0,1,0,0,0,0,1,"The vibrant colors, the sweet, floral smells and the peaceful quiet of the gardens make visiting this place an experience that engages the senses. "
0,0,1,0,0,0,0,1,Visiting the garden feels like being transported out of the city—and even the current time period—entirely
0,0,1,0,0,0,0,1,"This Bronx oasis is sectioned into 50 unique gardens, including the new azalea area and a sublime lilac collection."
0,0,1,0,0,0,0,1,"Take a load off at the recently opened Muscota Marsh, a new green space with views of the Shorakapok Preserve and the Henry Hudson Bridge."
